participant_id,session_id,condition,task_type,key_code,t_down_ms,t_up_ms,order_index
62965888,1,Post-Lunch,fixed,Key.shift,1763054644623,1763054644728,0
62965888,1,Post-Lunch,fixed,'e',1763054644780,1763054644849,1
62965888,1,Post-Lunch,fixed,Key.space,1763054644885,1763054644974,2
62965888,1,Post-Lunch,fixed,'q',1763054645002,1763054645103,3
62965888,1,Post-Lunch,fixed,'u',1763054645096,1763054645168,4
62965888,1,Post-Lunch,fixed,'i',1763054645152,1763054645224,5
62965888,1,Post-Lunch,fixed,'c',1763054645235,1763054645332,6
62965888,1,Post-Lunch,fixed,'k',1763054645341,1763054645406,7
62965888,1,Post-Lunch,fixed,Key.space,1763054645421,1763054645495,8
62965888,1,Post-Lunch,fixed,Key.backspace,1763054645626,1763054645690,9
62965888,1,Post-Lunch,fixed,Key.backspace,1763054645766,1763054645854,10
62965888,1,Post-Lunch,fixed,Key.backspace,1763054645882,1763054646007,11
62965888,1,Post-Lunch,fixed,'b',1763054646687,1763054646760,12
62965888,1,Post-Lunch,fixed,'o',1763054646761,1763054646826,13
62965888,1,Post-Lunch,fixed,'r',1763054646867,1763054646951,14
62965888,1,Post-Lunch,fixed,'n',1763054646951,1763054647019,15
62965888,1,Post-Lunch,fixed,'w',1763054647058,1763054647140,16
62965888,1,Post-Lunch,fixed,Key.space,1763054647140,1763054647206,17
62965888,1,Post-Lunch,fixed,Key.backspace,1763054647886,1763054647946,18
62965888,1,Post-Lunch,fixed,Key.backspace,1763054648050,1763054648106,19
62965888,1,Post-Lunch,fixed,Key.backspace,1763054648246,1763054648324,20
62965888,1,Post-Lunch,fixed,Key.backspace,1763054648413,1763054648466,21
62965888,1,Post-Lunch,fixed,Key.backspace,1763054649906,1763054649950,22
62965888,1,Post-Lunch,fixed,Key.backspace,1763054650036,1763054650093,23
62965888,1,Post-Lunch,fixed,Key.backspace,1763054650177,1763054650237,24
62965888,1,Post-Lunch,fixed,'b',1763054650784,1763054650848,25
62965888,1,Post-Lunch,fixed,'o',1763054650865,1763054650926,26
62965888,1,Post-Lunch,fixed,'r',1763054650984,1763054651074,27
62965888,1,Post-Lunch,fixed,'n',1763054651108,1763054651166,28
62965888,1,Post-Lunch,fixed,'w',1763054651175,1763054651257,29
62965888,1,Post-Lunch,fixed,Key.space,1763054651275,1763054651357,30
62965888,1,Post-Lunch,fixed,Key.backspace,1763054651788,1763054651852,31
62965888,1,Post-Lunch,fixed,Key.backspace,1763054651947,1763054651999,32
62965888,1,Post-Lunch,fixed,Key.backspace,1763054652099,1763054652159,33
62965888,1,Post-Lunch,fixed,Key.backspace,1763054652245,1763054652296,34
62965888,1,Post-Lunch,fixed,Key.backspace,1763054652394,1763054652474,35
62965888,1,Post-Lunch,fixed,'r',1763054652804,1763054652867,36
62965888,1,Post-Lunch,fixed,'o',1763054652862,1763054652940,37
62965888,1,Post-Lunch,fixed,'w',1763054652966,1763054653043,38
62965888,1,Post-Lunch,fixed,'n',1763054653040,1763054653140,39
62965888,1,Post-Lunch,fixed,Key.space,1763054653131,1763054653239,40
62965888,1,Post-Lunch,fixed,'f',1763054653753,1763054653848,41
62965888,1,Post-Lunch,fixed,'o',1763054653824,1763054653891,42
62965888,1,Post-Lunch,fixed,'x',1763054653915,1763054654007,43
62965888,1,Post-Lunch,fixed,Key.space,1763054654007,1763054654091,44
62965888,1,Post-Lunch,fixed,'j',1763054654262,1763054654334,45
62965888,1,Post-Lunch,fixed,'u',1763054654427,1763054654462,46
62965888,1,Post-Lunch,fixed,'m',1763054654587,1763054654675,47
62965888,1,Post-Lunch,fixed,'p',1763054654662,1763054654750,48
62965888,1,Post-Lunch,fixed,'s',1763054654757,1763054654824,49
62965888,1,Post-Lunch,fixed,Key.space,1763054654824,1763054654907,50
62965888,1,Post-Lunch,fixed,'o',1763054654910,1763054654975,51
62965888,1,Post-Lunch,fixed,'v',1763054654991,1763054655080,52
62965888,1,Post-Lunch,fixed,'e',1763054655098,1763054655210,53
62965888,1,Post-Lunch,fixed,'r',1763054655191,1763054655274,54
62965888,1,Post-Lunch,fixed,Key.space,1763054655258,1763054655325,55
62965888,1,Post-Lunch,fixed,'t',1763054655359,1763054655450,56
62965888,1,Post-Lunch,fixed,'h',1763054655430,1763054655490,57
62965888,1,Post-Lunch,fixed,'e',1763054655459,1763054655566,58
62965888,1,Post-Lunch,fixed,Key.space,1763054655574,1763054655643,59
62965888,1,Post-Lunch,fixed,'l',1763054655683,1763054655747,60
62965888,1,Post-Lunch,fixed,'a',1763054655695,1763054655790,61
62965888,1,Post-Lunch,fixed,'z',1763054655921,1763054656017,62
62965888,1,Post-Lunch,fixed,'y',1763054656392,1763054656472,63
62965888,1,Post-Lunch,fixed,Key.space,1763054656485,1763054656552,64
62965888,1,Post-Lunch,fixed,'d',1763054656737,1763054656824,65
62965888,1,Post-Lunch,fixed,'o',1763054656816,1763054656890,66
62965888,1,Post-Lunch,fixed,'g',1763054656901,1763054656980,67
62965888,1,Post-Lunch,fixed,Key.space,1763054656990,1763054657061,68
62965888,1,Post-Lunch,fixed,'w',1763054657151,1763054657240,69
62965888,1,Post-Lunch,fixed,'h',1763054657250,1763054657324,70
62965888,1,Post-Lunch,fixed,'i',1763054657307,1763054657374,71
62965888,1,Post-Lunch,fixed,'e',1763054657408,1763054657512,72
62965888,1,Post-Lunch,fixed,'l',1763054657509,1763054657574,73
62965888,1,Post-Lunch,fixed,Key.space,1763054657599,1763054657691,74
62965888,1,Post-Lunch,fixed,Key.backspace,1763054658036,1763054658106,75
62965888,1,Post-Lunch,fixed,Key.backspace,1763054658194,1763054658262,76
62965888,1,Post-Lunch,fixed,Key.backspace,1763054658396,1763054658461,77
62965888,1,Post-Lunch,fixed,'l',1763054658603,1763054658673,78
62965888,1,Post-Lunch,fixed,'e',1763054658707,1763054658796,79
62965888,1,Post-Lunch,fixed,Key.space,1763054658808,1763054658893,80
62965888,1,Post-Lunch,fixed,'t',1763054659225,1763054659302,81
62965888,1,Post-Lunch,fixed,'y',1763054659400,1763054659454,82
62965888,1,Post-Lunch,fixed,'p',1763054659428,1763054659496,83
62965888,1,Post-Lunch,fixed,'i',1763054659752,1763054659875,84
62965888,1,Post-Lunch,fixed,'n',1763054659841,1763054659900,85
62965888,1,Post-Lunch,fixed,'g',1763054659880,1763054659960,86
62965888,1,Post-Lunch,fixed,Key.space,1763054660010,1763054660078,87
62965888,1,Post-Lunch,fixed,'s',1763054660542,1763054660598,88
62965888,1,Post-Lunch,fixed,'t',1763054660652,1763054660773,89
62965888,1,Post-Lunch,fixed,'e',1763054660748,1763054660832,90
62965888,1,Post-Lunch,fixed,'a',1763054660812,1763054660928,91
62965888,1,Post-Lunch,fixed,'d',1763054660928,1763054661001,92
62965888,1,Post-Lunch,fixed,'i',1763054661023,1763054661126,93
62965888,1,Post-Lunch,fixed,'l',1763054661129,1763054661241,94
62965888,1,Post-Lunch,fixed,'i',1763054661217,1763054661274,95
62965888,1,Post-Lunch,fixed,Key.backspace,1763054661680,1763054661767,96
62965888,1,Post-Lunch,fixed,'y',1763054661926,1763054661991,97
62965888,1,Post-Lunch,fixed,Key.space,1763054662384,1763054662469,98
62965888,1,Post-Lunch,fixed,'t',1763054662523,1763054662601,99
62965888,1,Post-Lunch,fixed,'o',1763054662601,1763054662693,100
62965888,1,Post-Lunch,fixed,Key.space,1763054662660,1763054662741,101
62965888,1,Post-Lunch,fixed,'c',1763054662753,1763054662816,102
62965888,1,Post-Lunch,fixed,'o',1763054662824,1763054662909,103
62965888,1,Post-Lunch,fixed,'m',1763054662893,1763054662964,104
62965888,1,Post-Lunch,fixed,'p',1763054663024,1763054663140,105
62965888,1,Post-Lunch,fixed,'l',1763054663115,1763054663148,106
62965888,1,Post-Lunch,fixed,'e',1763054663600,1763054663699,107
62965888,1,Post-Lunch,fixed,'t',1763054663689,1763054663827,108
62965888,1,Post-Lunch,fixed,'e',1763054663795,1763054663915,109
62965888,1,Post-Lunch,fixed,Key.space,1763054663906,1763054663983,110
62965888,1,Post-Lunch,fixed,'t',1763054664056,1763054664160,111
62965888,1,Post-Lunch,fixed,'h',1763054664132,1763054664195,112
62965888,1,Post-Lunch,fixed,'i',1763054664173,1763054664252,113
62965888,1,Post-Lunch,fixed,'s',1763054664258,1763054664328,114
62965888,1,Post-Lunch,fixed,Key.space,1763054664349,1763054664424,115
62965888,1,Post-Lunch,fixed,'s',1763054664606,1763054664697,116
62965888,1,Post-Lunch,fixed,'e',1763054664794,1763054664878,117
62965888,1,Post-Lunch,fixed,'n',1763054664872,1763054664917,118
62965888,1,Post-Lunch,fixed,'t',1763054664913,1763054665014,119
62965888,1,Post-Lunch,fixed,'e',1763054665017,1763054665126,120
62965888,1,Post-Lunch,fixed,'n',1763054665148,1763054665216,121
62965888,1,Post-Lunch,fixed,'c',1763054665442,1763054665541,122
62965888,1,Post-Lunch,fixed,'e',1763054665501,1763054665612,123
62965888,1,Post-Lunch,fixed,Key.space,1763054665589,1763054665673,124
62965888,1,Post-Lunch,fixed,'f',1763054665834,1763054665927,125
62965888,1,Post-Lunch,fixed,'o',1763054665907,1763054665990,126
62965888,1,Post-Lunch,fixed,'r',1763054666024,1763054666107,127
62965888,1,Post-Lunch,fixed,Key.space,1763054666095,1763054666168,128
62965888,1,Post-Lunch,fixed,'b',1763054666358,1763054666442,129
62965888,1,Post-Lunch,fixed,'i',1763054666450,1763054666539,130
62965888,1,Post-Lunch,fixed,'o',1763054666642,1763054666758,131
62965888,1,Post-Lunch,fixed,'m',1763054666740,1763054666813,132
62965888,1,Post-Lunch,fixed,'e',1763054666867,1763054666952,133
62965888,1,Post-Lunch,fixed,'t',1763054667039,1763054667123,134
62965888,1,Post-Lunch,fixed,'r',1763054667211,1763054667283,135
62965888,1,Post-Lunch,fixed,'i',1763054667309,1763054667374,136
62965888,1,Post-Lunch,fixed,'c',1763054667446,1763054667530,137
62965888,1,Post-Lunch,fixed,Key.space,1763054667564,1763054667625,138
62965888,1,Post-Lunch,fixed,'a',1763054667813,1763054667896,139
62965888,1,Post-Lunch,fixed,'n',1763054667924,1763054667962,140
62965888,1,Post-Lunch,fixed,'a',1763054667991,1763054668078,141
62965888,1,Post-Lunch,fixed,'l',1763054668119,1763054668211,142
62965888,1,Post-Lunch,fixed,'y',1763054668240,1763054668331,143
62965888,1,Post-Lunch,fixed,'s',1763054668635,1763054668719,144
62965888,1,Post-Lunch,fixed,'i',1763054668735,1763054668792,145
62965888,1,Post-Lunch,fixed,'s',1763054668806,1763054668907,146
62965888,1,Post-Lunch,fixed,'.',1763054669100,1763054669193,147
62965888,1,Post-Lunch,fixed,Key.esc,1763054672314,1763054672403,148
